age,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,target
39,13,4,0,1,1,2174,0,40,0
50,13,2,3,0,1,0,0,13,0
38,9,0,5,1,1,0,0,40,0
53,7,2,5,0,1,0,0,40,0
28,13,2,9,5,0,0,0,40,0
37,14,2,3,5,0,0,0,40,0
49,5,3,7,1,0,0,0,16,0
52,9,2,3,0,1,0,0,45,1
31,14,4,9,1,0,14084,0,50,1
42,13,2,3,0,1,5178,0,40,1
37,10,2,3,0,1,0,0,80,1
30,13,2,9,0,1,0,0,40,1
23,13,4,0,3,0,0,0,30,0
32,12,4,11,1,1,0,0,50,0
34,4,2,13,0,1,0,0,45,0
25,9,4,4,3,1,0,0,35,0
32,9,4,6,4,1,0,0,40,0
38,7,2,11,0,1,0,0,50,0
43,14,0,3,4,0,0,0,45,1
40,16,2,9,0,1,0,0,60,1
54,9,5,7,4,0,0,0,20,0
35,5,2,4,0,1,0,0,40,0
43,7,2,13,0,1,0,2042,40,0
59,9,0,12,4,0,0,0,40,0
56,13,2,12,0,1,0,0,40,1
19,9,4,2,3,1,0,0,40,0
39,9,0,3,1,1,0,0,80,0
49,9,2,2,0,1,0,0,40,0
23,12,4,10,1,1,0,0,52,0
20,10,4,11,3,1,0,0,44,0
45,13,0,3,3,1,0,1408,40,0
30,10,2,0,3,1,0,0,40,0
22,10,2,7,0,1,0,0,15,0
48,7,4,6,4,1,0,0,40,0
21,10,4,6,3,1,0,0,40,0
19,9,1,0,5,0,0,0,25,0
48,12,2,9,0,1,0,0,40,0
31,5,2,6,0,1,0,0,43,0
53,13,2,9,0,1,0,0,40,0
24,13,2,12,0,1,0,0,50,0
49,9,5,0,4,0,0,0,40,0
25,9,4,5,1,1,0,0,35,0
57,13,2,9,0,1,0,0,40,1
53,9,2,6,0,1,0,0,38,0
44,14,0,3,4,0,0,0,40,0
41,11,2,2,0,1,0,0,40,0
29,11,4,9,1,1,0,0,43,0
25,10,2,3,5,0,0,0,40,0
47,15,2,9,5,0,0,1902,60,1
50,13,0,3,1,1,0,0,55,1
47,9,0,3,1,1,0,0,60,0
43,10,2,12,0,1,0,0,40,1
46,3,2,6,0,1,0,0,40,0
35,11,2,7,0,1,0,0,40,0
41,9,2,0,0,1,0,0,48,0
30,9,2,6,0,1,5013,0,40,0
30,13,2,11,0,1,2407,0,40,0
48,9,2,13,0,1,0,0,40,0
42,16,2,9,0,1,0,0,45,1
29,10,0,12,1,1,0,0,58,0
36,9,2,2,0,1,0,0,40,0
28,10,0,0,1,0,0,0,40,0
53,9,2,0,5,0,0,0,40,1
49,10,2,3,0,1,0,0,50,1
19,10,4,9,3,1,0,0,32,0
31,13,5,11,3,0,0,0,40,0
29,13,2,11,0,1,0,0,70,1
23,10,4,6,1,1,0,0,40,0
79,10,2,9,2,1,0,0,20,0
27,9,4,7,3,1,0,0,40,0
40,12,2,0,0,1,0,0,40,0
18,7,4,7,3,0,0,0,22,0
31,4,2,4,0,1,0,0,40,0
18,9,4,11,1,1,0,0,30,0
52,13,2,7,0,1,0,0,40,0
46,9,2,7,5,0,0,0,40,0
59,9,2,11,0,1,0,0,48,0
44,9,0,2,1,0,14344,0,40,1
53,9,0,11,3,0,0,0,35,0
49,9,2,10,0,1,0,0,40,1
